_id,describe,description,tag,tilte,title,url
6275f283ba800432f4f5fe00,Vehicle equipment and hygiene:,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760413ba800432f4f5fe01,Vehicles must meet the transshipment standards for transshipment grains:,,transport,,Transport vehicle standard,https://www.graintrade.org.au/commodity_standards
6276044cba800432f4f5fe02,No vehicle that has carried material shown in the Class 1 Exclusion List shall be presented for the cartage of grain:,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760478ba800432f4f5fe03,All vehicles and drivers must comply with Class 2 and Class 3 Product cleaning requirements and a record must be retained by the carrier of the prior loads and cleaning methods. (Record Required):,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
6276048eba800432f4f5fe04,All bulk tipping vehicles andtrailers must be fitted with a tarpaulin system that can be operated from ground level or from a safe low-level platform:,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
627604afba800432f4f5fe05,All vehicles and drivers must comply with Class 2 and Class 3 Product cleaning requirements and a record must be retained by the carrier of the prior loads and cleaning methods. (Record Required): ,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
627604caba800432f4f5fe06,All vehicles and drivers must comply with Class 2 and Class 3 Product cleaning requirements and a record must be retained by the carrier of the prior loads and cleaning methods. (Record Required): ,,transport,,Transport vehicle standard,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760571ba800432f4f5fe07,Before the vehicle is loaded:,,transport,,Standard when loading cargo,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
627605adba800432f4f5fe08,Grain suppliers need to provide quality certificates: ,,transport,,Standard when loading cargo,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
627605c1ba800432f4f5fe09,Grain needs to be inspected for pests before loading: ,,transport,,Standard when loading cargo,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760635ba800432f4f5fe0a,Loading should be carried out in suitable weather before loading:,,transport,,Standard when loading cargo,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
